,ntoskrnl.exe,ntoskrnl.exe.1
625,122.0,30
626,152.0,30
627,177.0,9
628,182.0,68
629,179.0,30
630,137.0,122
631,177.0,30
632,165.0,122
633,177.0,177
634,160.0,137
635,143.0,30
636,165.0,30
637,143.0,30
638,122.0,30
639,143.0,55
640,122.0,184
641,92.0,30
642,122.0,177
643,114.0,30
644,34.0,30
645,152.0,9
646,114.0,68
647,122.0,30
648,127.0,122
649,138.0,30
650,35.0,122
651,9.0,177
652,162.0,30
653,162.0,30
654,55.0,9
655,41.0,68
656,142.0,30
657,177.0,122
658,155.0,30
659,122.0,122
660,182.0,177
661,122.0,30
662,144.0,30
663,142.0,30
664,164.0,9
665,162.0,68
666,41.0,30
667,155.0,122
668,182.0,55
669,162.0,184
670,55.0,30
671,152.0,122
672,122.0,30
673,177.0,30
674,165.0,177
675,122.0,30
676,137.0,30
677,182.0,9
678,122.0,137
679,122.0,68
680,177.0,30
681,41.0,30
682,155.0,30
683,182.0,55
684,172.0,184
685,122.0,30
686,34.0,177
687,152.0,30
688,41.0,30
689,155.0,9
690,122.0,68
691,182.0,177
692,172.0,30
693,127.0,30
694,162.0,9
695,162.0,68
696,55.0,177
697,182.0,30
698,127.0,30
699,182.0,9
700,155.0,68
701,137.0,177
702,35.0,137
703,155.0,30
704,177.0,30
705,35.0,30
706,180.0,30
707,155.0,55
708,35.0,184
709,180.0,30
710,155.0,177
711,162.0,137
712,35.0,30
713,162.0,30
714,65.0,30
715,55.0,30
716,152.0,55
717,122.0,184
718,122.0,30
719,177.0,177
720,165.0,142
721,177.0,30
722,122.0,177
723,122.0,30
724,122.0,142
725,34.0,164
726,152.0,9
727,122.0,180
728,152.0,180
729,122.0,68
730,122.0,177
731,177.0,30
732,137.0,30
733,182.0,9
734,130.0,68
735,121.0,177
736,118.0,30
737,121.0,30
738,177.0,30
739,165.0,9
740,122.0,68
741,122.0,177
742,122.0,30
743,34.0,30
744,127.0,9
745,162.0,68
746,162.0,177
747,55.0,30
748,152.0,30
749,182.0,9
750,179.0,68
751,162.0,177
752,162.0,30
753,55.0,30
754,152.0,9
755,122.0,68
756,41.0,177
757,172.0,137
758,152.0,30
759,155.0,30
760,122.0,30
761,177.0,30
762,122.0,30
763,165.0,30
764,177.0,30
765,122.0,30
766,122.0,30
767,182.0,30
768,172.0,30
769,122.0,30
770,34.0,30
771,152.0,30
772,155.0,30
773,35.0,30
774,65.0,30
775,122.0,30
776,172.0,30
777,152.0,30
778,122.0,30
779,122.0,30
780,177.0,30
781,137.0,30
782,165.0,30
783,122.0,30
784,177.0,30
785,122.0,30
786,122.0,30
787,34.0,30
788,152.0,30
789,122.0,30
790,127.0,30
791,162.0,30
792,162.0,30
793,55.0,30
794,137.0,30
795,177.0,30
796,89.0,30
797,154.0,30
798,130.0,30
799,162.0,30
800,162.0,30
801,182.0,30
802,55.0,30
803,177.0,30
804,172.0,30
805,152.0,30
806,122.0,30
807,177.0,30
808,122.0,30
809,177.0,30
810,152.0,30
811,182.0,30
812,179.0,30
813,137.0,30
814,177.0,30
815,118.0,30
816,167.0,30
817,130.0,30
818,121.0,30
819,165.0,30
820,122.0,30
821,122.0,30
822,122.0,30
823,127.0,30
824,162.0,30
825,162.0,30
826,55.0,9
827,118.0,68
828,121.0,30
829,89.0,30
830,154.0,30
831,130.0,64
832,162.0,64
833,162.0,98
834,55.0,99
835,34.0,93
836,152.0,94
837,122.0,7
838,172.0,35
839,152.0,101
840,122.0,98
841,122.0,99
842,137.0,93
843,177.0,94
844,182.0,7
845,118.0,35
846,177.0,30
847,152.0,30
848,182.0,30
849,137.0,30
850,179.0,30
851,177.0,30
852,167.0,30
853,165.0,30
854,122.0,30
855,122.0,30
856,122.0,30
857,34.0,30
858,152.0,30
859,122.0,30
860,152.0,30
861,122.0,30
862,122.0,30
863,177.0,30
864,177.0,30
865,55.0,30
866,55.0,30
867,143.0,30
868,143.0,30
869,152.0,30
870,179.0,30
871,179.0,30
872,142.0,30
873,164.0,30
874,180.0,30
875,127.0,30
876,143.0,30
877,160.0,118
878,143.0,89
879,143.0,30
880,162.0,30
881,143.0,30
882,162.0,30
883,55.0,30
884,142.0,30
885,180.0,30
886,179.0,30
887,55.0,30
888,180.0,30
889,162.0,30
890,162.0,30
891,55.0,30
892,165.0,30
893,122.0,30
894,122.0,30
895,172.0,30
896,122.0,30
897,34.0,30
898,152.0,30
899,122.0,30
900,152.0,30
901,122.0,30
902,122.0,30
903,177.0,30
904,137.0,30
905,182.0,30
906,152.0,30
907,179.0,30
908,177.0,30
909,152.0,30
910,182.0,30
911,179.0,30
912,137.0,172
913,177.0,131
914,152.0,131
915,179.0,131
916,179.0,131
917,180.0,131
918,55.0,131
919,127.0,131
920,162.0,131
921,162.0,118
922,55.0,89
923,152.0,130
924,179.0,35
925,179.0,118
926,55.0,89
927,165.0,130
928,122.0,35
929,122.0,118
930,162.0,89
931,162.0,130
932,68.0,35
933,55.0,118
934,9.0,89
935,122.0,130
936,34.0,35
937,127.0,118
938,152.0,89
939,122.0,130
940,152.0,35
941,122.0,30
942,177.0,30
943,122.0,30
944,177.0,30
945,55.0,30
946,55.0,30
947,55.0,30
948,152.0,30
949,179.0,30
950,179.0,30
951,177.0,30
952,55.0,30
953,165.0,30
954,122.0,118
955,122.0,89
956,122.0,30
957,34.0,30
958,152.0,30
959,122.0,118
960,152.0,89
961,127.0,30
962,162.0,30
963,162.0,30
964,55.0,30
965,152.0,30
966,179.0,30
967,179.0,30
968,162.0,30
969,162.0,30
970,55.0,30
971,122.0,30
972,177.0,30
973,122.0,30
974,165.0,30
975,122.0,30
976,137.0,30
977,182.0,30
978,122.0,30
979,122.0,30
980,177.0,30
981,34.0,30
982,152.0,30
983,49.0,30
984,122.0,30
985,152.0,30
986,122.0,30
987,122.0,30
988,177.0,30
989,177.0,30
990,152.0,30
991,182.0,30
992,179.0,30
993,137.0,30
994,177.0,68
995,80.0,9
996,127.0,9
997,175.0,137
998,162.0,9
999,68.0,68
1000,162.0,9
1001,80.0,9
1002,55.0,68
1003,175.0,9
1004,80.0,27
1005,175.0,177
1006,80.0,27
1007,175.0,68
1008,80.0,115
1009,162.0,157
1010,162.0,9
1011,175.0,157
1012,55.0,157
1013,165.0,27
1014,80.0,180
1015,122.0,27
1016,122.0,180
1017,122.0,165
1018,34.0,127
1019,152.0,165
1020,122.0,165
1021,152.0,177
1022,122.0,30
1023,122.0,30
1024,177.0,30
1025,137.0,30
1026,182.0,30
1027,177.0,30
1028,152.0,30
1029,182.0,30
1030,137.0,30
1031,137.0,30
1032,177.0,30
1033,165.0,30
1034,122.0,30
1035,122.0,30
1036,127.0,30
1037,162.0,30
1038,162.0,30
1039,55.0,30
1040,162.0,30
1041,162.0,30
1042,55.0,30
1043,172.0,30
1044,122.0,30
1045,34.0,30
1046,152.0,30
1047,122.0,30
1048,172.0,30
1049,152.0,30
1050,122.0,30
1051,122.0,30
1052,177.0,30
1053,177.0,30
1054,165.0,30
1055,122.0,118
1056,122.0,89
1057,122.0,172
1058,34.0,30
1059,152.0,30
1060,122.0,64
1061,152.0,64
1062,122.0,64
1063,122.0,64
1064,177.0,98
1065,137.0,99
1066,182.0,93
1067,177.0,94
1068,182.0,7
1069,137.0,35
1070,177.0,101
1071,179.0,98
1072,127.0,99
1073,175.0,93
1074,80.0,94
1075,162.0,7
1076,162.0,35
1077,175.0,30
1078,55.0,30
1079,80.0,30
1080,175.0,64
1081,80.0,64
1082,175.0,64
1083,80.0,64
1084,175.0,98
1085,162.0,99
1086,80.0,93
1087,162.0,94
1088,55.0,7
1089,175.0,35
1090,165.0,101
1091,122.0,98
1092,80.0,99
1093,122.0,93
1094,122.0,94
1095,175.0,7
1096,34.0,35
1097,152.0,30
1098,80.0,30
1099,122.0,30
1100,152.0,30
1101,175.0,30
1102,122.0,30
1103,122.0,30
1104,177.0,30
1105,177.0,30
1106,80.0,30
1107,127.0,68
1108,175.0,30
1109,80.0,30
1110,162.0,30
1111,162.0,68
1112,175.0,9
1113,55.0,30
1114,80.0,30
1115,162.0,30
1116,162.0,30
1117,55.0,30
1118,175.0,30
1119,165.0,30
1120,122.0,30
1121,80.0,30
1122,122.0,30
1123,122.0,30
1124,175.0,30
1125,34.0,30
1126,152.0,30
1127,122.0,30
1128,80.0,30
1129,152.0,30
1130,122.0,30
1131,177.0,30
1132,122.0,30
1133,165.0,30
1134,137.0,30
1135,122.0,30
1136,182.0,30
1137,122.0,30
1138,177.0,30
1139,122.0,30
1140,34.0,30
1141,152.0,30
1142,175.0,30
1143,122.0,30
1144,80.0,30
1145,152.0,177
1146,122.0,30
1147,177.0,30
1148,122.0,30
1149,182.0,177
1150,177.0,30
1151,175.0,30
1152,137.0,177
1153,80.0,137
1154,177.0,30
1155,175.0,137
1156,80.0,30
1157,175.0,30
1158,80.0,30
1159,175.0,30
1160,80.0,55
1161,175.0,184
1162,80.0,30
1163,175.0,30
1164,127.0,30
1165,162.0,30
1166,162.0,177
1167,55.0,142
1168,80.0,177
1169,175.0,142
1170,80.0,164
1171,175.0,114
1172,55.0,156
1173,80.0,179
1174,184.0,137
1175,175.0,34
1176,162.0,140
1177,162.0,179
1178,80.0,140
1179,55.0,179
1180,175.0,140
1181,165.0,179
1182,122.0,152
1183,80.0,140
1184,122.0,114
1185,122.0,156
1186,175.0,137
1187,34.0,156
1188,152.0,180
1189,80.0,180
1190,122.0,30
1191,152.0,30
1192,175.0,30
1193,122.0,55
1194,122.0,184
1195,177.0,30
1196,137.0,30
1197,55.0,55
1198,182.0,184
1199,177.0,30
1200,152.0,177
1201,182.0,137
1202,179.0,30
1203,137.0,30
1204,177.0,30
1205,80.0,55
1206,175.0,184
1207,80.0,30
1208,152.0,30
1209,175.0,55
1210,179.0,184
1211,179.0,30
1212,143.0,177
1213,160.0,137
1214,143.0,30
1215,143.0,30
1216,143.0,30
1217,80.0,30
1218,175.0,30
1219,80.0,55
1220,175.0,184
1221,80.0,30
1222,175.0,177
1223,80.0,30
1224,175.0,30
1225,165.0,177
1226,80.0,30
1227,122.0,30
1228,175.0,177
1229,127.0,137
1230,80.0,30
1231,175.0,30
1232,162.0,30
1233,162.0,30
1234,80.0,30
1235,55.0,55
1236,175.0,184
1237,80.0,30
1238,175.0,177
1239,80.0,137
1240,175.0,30
1241,80.0,30
1242,162.0,30
1243,175.0,30
1244,162.0,30
1245,55.0,55
1246,80.0,184
1247,122.0,30
1248,175.0,177
1249,122.0,30
1250,34.0,30
1251,152.0,177
1252,122.0,137
1253,80.0,30
1254,152.0,30
1255,122.0,30
1256,122.0,30
1257,177.0,30
1258,177.0,55
1259,165.0,184
1260,122.0,30
1261,175.0,177
1262,122.0,30
1263,80.0,30
1264,122.0,137
1265,34.0,30
1266,175.0,30
1267,152.0,30
1268,122.0,30
1269,152.0,55
1270,80.0,184
1271,122.0,30
1272,122.0,177
1273,177.0,137
1274,137.0,30
1275,182.0,30
1276,177.0,30
1277,152.0,30
1278,182.0,30
1279,179.0,55
1280,137.0,184
1281,175.0,30
1282,177.0,177
1283,80.0,30
1284,175.0,30
1285,80.0,177
1286,175.0,137
1287,80.0,30
1288,175.0,30
1289,80.0,30
1290,175.0,30
1291,80.0,30
1292,175.0,30
1293,127.0,30
1294,80.0,30
1295,175.0,30
1296,162.0,177
1297,162.0,142
1298,80.0,177
1299,55.0,142
1300,175.0,164
1301,80.0,180
1302,175.0,180
1303,80.0,137
1304,175.0,30
1305,80.0,30
1306,175.0,30
1307,35.0,30
1308,55.0,30
1309,162.0,30
1310,162.0,30
1311,160.0,30
1312,182.0,55
1313,55.0,184
1314,165.0,30
1315,122.0,177
1316,160.0,30
1317,137.0,30
1318,122.0,177
1319,122.0,30
1320,34.0,30
1321,152.0,177
1322,122.0,137
1323,152.0,30
1324,122.0,30
1325,122.0,30
1326,177.0,30
1327,177.0,30
1328,182.0,30
1329,143.0,30
1330,143.0,30
1331,143.0,30
1332,143.0,137
1333,177.0,30
1334,143.0,30
1335,152.0,30
1336,137.0,30
1337,143.0,55
1338,143.0,184
1339,143.0,30
1340,34.0,177
1341,177.0,30
1342,34.0,30
1343,152.0,177
1344,179.0,137
1345,179.0,30
1346,152.0,30
1347,166.0,30
1348,179.0,30
1349,179.0,30
1350,127.0,30
1351,162.0,30
1352,162.0,30
1353,55.0,30
1354,152.0,30
1355,179.0,30
1356,162.0,30
1357,179.0,30
1358,162.0,177
1359,55.0,142
1360,152.0,177
1361,166.0,142
1362,165.0,164
1363,179.0,180
1364,122.0,180
1365,179.0,30
1366,122.0,30
1367,122.0,177
1368,34.0,137
1369,152.0,30
1370,122.0,30
1371,152.0,30
1372,122.0,30
1373,122.0,30
1374,177.0,30
1375,137.0,30
1376,165.0,55
1377,182.0,184
1378,122.0,30
1379,122.0,177
1380,177.0,30
1381,122.0,30
1382,34.0,177
1383,152.0,30
1384,122.0,30
1385,152.0,64
1386,122.0,64
1387,122.0,64
1388,177.0,64
1389,177.0,30
1390,152.0,177
1391,182.0,30
1392,179.0,30
1393,137.0,177
1394,177.0,30
1395,55.0,30
1396,152.0,177
1397,179.0,179
1398,179.0,30
1399,55.0,30
1400,127.0,30
1401,55.0,30
1402,55.0,177
1403,55.0,30
1404,55.0,30
1405,55.0,177
1406,55.0,30
1407,55.0,30
1408,55.0,177
1409,55.0,30
1410,143.0,30
1411,127.0,177
1412,160.0,142
1413,143.0,177
1414,143.0,142
1415,143.0,164
1416,166.0,180
1417,55.0,180
1418,165.0,30
1419,122.0,30
1420,122.0,177
1421,172.0,137
1422,122.0,30
1423,34.0,30
1424,152.0,30
1425,122.0,30
1426,152.0,55
1427,122.0,184
1428,122.0,30
1429,177.0,177
1430,137.0,137
1431,165.0,30
1432,182.0,30
1433,122.0,30
1434,122.0,30
1435,177.0,55
1436,122.0,184
1437,34.0,30
1438,152.0,177
1439,122.0,137
1440,152.0,30
1441,122.0,30
1442,122.0,30
1443,177.0,30
1444,177.0,30
1445,152.0,30
1446,127.0,30
1447,55.0,30
1448,165.0,30
1449,122.0,30
1450,122.0,30
1451,122.0,30
1452,34.0,177
1453,152.0,30
1454,122.0,30
1455,152.0,177
1456,122.0,137
1457,177.0,30
1458,122.0,30
1459,137.0,30
1460,182.0,30
1461,177.0,30
1462,137.0,30
1463,182.0,55
1464,177.0,184
1465,177.0,30
1466,182.0,177
1467,137.0,137
1468,179.0,30
1469,177.0,30
1470,55.0,30
1471,152.0,30
1472,9.0,30
1473,9.0,30
1474,141.0,118
1475,127.0,89
1476,166.0,130
1477,55.0,35
1478,165.0,118
1479,122.0,89
1480,122.0,30
1481,122.0,30
1482,34.0,137
1483,152.0,30
1484,162.0,30
1485,162.0,30
1486,55.0,30
1487,179.0,30
1488,152.0,137
1489,179.0,30
1490,34.0,30
1491,152.0,30
1492,176.0,30
1493,176.0,30
1494,139.0,30
1495,162.0,30
1496,162.0,30
1497,55.0,177
1498,122.0,137
1499,152.0,30
1500,122.0,30
1501,122.0,30
1502,177.0,30
1503,165.0,30
1504,177.0,30
1505,122.0,177
1506,122.0,137
1507,122.0,30
1508,34.0,30
1509,152.0,30
1510,122.0,30
1511,152.0,30
1512,122.0,55
1513,122.0,184
1514,177.0,30
1515,137.0,177
1516,182.0,30
1517,139.0,30
1518,177.0,177
1519,152.0,142
1520,182.0,177
1521,179.0,142
1522,137.0,164
1523,177.0,180
1524,68.0,180
1525,179.0,30
1526,68.0,30
1527,165.0,177
1528,127.0,30
1529,162.0,30
1530,162.0,177
1531,55.0,137
1532,141.0,30
1533,34.0,30
1534,179.0,30
1535,179.0,30
1536,179.0,30
1537,162.0,55
1538,162.0,184
1539,55.0,30
1540,122.0,177
1541,122.0,27
1542,122.0,177
1543,34.0,27
1544,152.0,115
1545,122.0,157
1546,152.0,157
1547,122.0,165
1548,177.0,127
1549,122.0,157
1550,177.0,27
1551,55.0,180
1552,152.0,27
1553,165.0,180
1554,122.0,165
1555,122.0,165
1556,122.0,177
1557,34.0,137
1558,152.0,30
1559,122.0,30
1560,152.0,30
1561,122.0,30
1562,122.0,30
1563,177.0,55
1564,137.0,184
1565,182.0,30
1566,127.0,177
1567,177.0,30
1568,162.0,30
1569,162.0,177
1570,55.0,30
1571,152.0,30
1572,182.0,64
1573,137.0,64
1574,179.0,64
1575,177.0,64
1576,179.0,30
1577,179.0,177
1578,55.0,137
1579,162.0,30
1580,162.0,30
1581,55.0,30
1582,55.0,30
1583,143.0,30
1584,160.0,30
1585,143.0,177
1586,143.0,137
1587,143.0,30
1588,55.0,30
1589,55.0,30
1590,55.0,30
1591,184.0,30
1592,55.0,55
1593,55.0,184
1594,55.0,30
1595,165.0,177
1596,122.0,137
1597,122.0,30
1598,122.0,30
1599,34.0,30
1600,152.0,30
1601,122.0,30
1602,152.0,30
1603,122.0,30
1604,122.0,30
1605,177.0,30
1606,177.0,30
1607,55.0,30
1608,127.0,177
1609,55.0,137
1610,55.0,30
1611,55.0,30
1612,55.0,30
1613,55.0,30
1614,55.0,30
1615,55.0,30
1616,55.0,55
1617,152.0,184
1618,179.0,30
1619,179.0,177
1620,165.0,30
1621,122.0,30
1622,122.0,30
1623,122.0,30
1624,34.0,30
1625,152.0,30
1626,122.0,30
1627,152.0,30
1628,122.0,30
1629,122.0,30
1630,177.0,30
1631,137.0,30
1632,182.0,30
1633,127.0,30
1634,177.0,30
1635,166.0,30
1636,55.0,30
1637,182.0,30
1638,137.0,30
1639,177.0,30
1640,55.0,30
1641,152.0,30
1642,179.0,30
1643,179.0,30
1644,55.0,30
1645,55.0,30
1646,55.0,30
1647,55.0,30
1648,152.0,30
1649,165.0,30
1650,122.0,30
1651,127.0,30
1652,55.0,30
1653,122.0,30
1654,122.0,30
1655,34.0,30
1656,152.0,30
1657,122.0,30
1658,152.0,30
1659,122.0,30
1660,122.0,30
